player,total_runs,balls_faced,times_out,matches_played,batting_average,strike_rate,fours,sixes,runs_conceded,wickets,balls_bowled,matches_bowled,economy_rate,bowling_average,bowling_strike_rate,role,total_matches
AJ Tye,91.0,79.0,8.0,13.0,11.38,115.19,6.0,5.0,1005.0,48.0,714.0,30.0,8.45,20.94,14.88,All-rounder,30.0
Iqbal Abdulla,88.0,86.0,1.0,13.0,88.0,102.33,9.0,1.0,1125.0,45.0,943.0,48.0,7.16,25.0,20.96,All-rounder,48.0
SL Malinga,88.0,103.0,12.0,20.0,7.33,85.44,6.0,5.0,3486.0,188.0,2974.0,122.0,7.03,18.54,15.82,All-rounder,122.0
Ankit Sharma,87.0,69.0,7.0,10.0,12.43,126.09,7.0,4.0,453.0,12.0,375.0,21.0,7.25,37.75,31.25,All-rounder,21.0
MJ McClenaghan,85.0,73.0,11.0,20.0,7.73,116.44,5.0,7.0,1839.0,75.0,1346.0,56.0,8.2,24.52,17.95,All-rounder,56.0
TA Boult,83.0,82.0,7.0,22.0,11.86,101.22,5.0,3.0,3286.0,128.0,2428.0,103.0,8.12,25.67,18.97,All-rounder,103.0
NM Coulter-Nile,82.0,75.0,10.0,16.0,8.2,109.33,7.0,4.0,1125.0,52.0,892.0,38.0,7.57,21.63,17.15,All-rounder,38.0
CJ Jordan,81.0,81.0,9.0,12.0,9.0,100.0,3.0,3.0,1111.0,36.0,717.0,34.0,9.3,30.86,19.92,All-rounder,34.0
DL Chahar,80.0,61.0,7.0,12.0,11.43,131.15,2.0,6.0,2243.0,79.0,1746.0,81.0,7.71,28.39,22.1,All-rounder,81.0
CR Woakes,78.0,77.0,5.0,12.0,15.6,101.3,7.0,2.0,674.0,31.0,463.0,21.0,8.73,21.74,14.94,All-rounder,21.0
Mohammed Shami,74.0,82.0,13.0,23.0,5.69,90.24,6.0,2.0,3486.0,144.0,2521.0,110.0,8.3,24.21,17.51,All-rounder,110.0
